OFFICIAL_GENE_SYMBOL	Name	Species
KMT2E	lysine (K)-specific methyltransferase 2E(kmt2e)	Danio rerio
HLTF	helicase-like transcription factor(hltf)	Danio rerio
RAI1	retinoic acid induced 1(rai1)	Danio rerio
HAT1	histone acetyltransferase 1(hat1)	Danio rerio
RLIM	ring finger protein, LIM domain interacting(rlim)	Danio rerio
EXOSC5	exosome component 5(exosc5)	Danio rerio
HP1BP3	heterochromatin protein 1, binding protein 3(hp1bp3)	Danio rerio
EYA2	EYA transcriptional coactivator and phosphatase 2(eya2)	Danio rerio
TAF6	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf6)	Danio rerio
PHF10	PHD finger protein 10(phf10)	Danio rerio
CDK1	cyclin-dependent kinase 1(cdk1)	Danio rerio
BPTF	bromodomain PHD finger transcription factor(bptf)	Danio rerio
vps72	vacuolar protein sorting 72 homolog (S. cerevisiae)(vps72)	Danio rerio
NCOR2	nuclear receptor corepressor 2(ncor2)	Danio rerio
CUL4B	cullin 4B(cul4b)	Danio rerio
ATXN7L3	ataxin 7-like 3(atxn7l3)	Danio rerio
HDGFRP2	hepatoma-derived growth factor-related protein 2(hdgfrp2)	Danio rerio
tet3	tet methylcytosine dioxygenase 3(tet3)	Danio rerio
NAT10	N-acetyltransferase 10(nat10)	Danio rerio
KDM3B	lysine (K)-specific demethylase 3B(kdm3b)	Danio rerio
ARID4B	AT-rich interaction domain 4B(arid4b)	Danio rerio
ELP6	elongator acetyltransferase complex subunit 6(elp6)	Danio rerio
BCORL1	BCL6 corepressor-like 1(bcorl1)	Danio rerio
ZMYM2	zinc finger, MYM-type 2(zmym2)	Danio rerio
BANP	BTG3 associated nuclear protein(banp)	Danio rerio
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1(smarce1)	Danio rerio
ZNF532	zinc finger protein 532(znf532)	Danio rerio
BRD4	bromodomain containing 4(brd4)	Danio rerio
MEN1	multiple endocrine neoplasia I(men1)	Danio rerio
DAXX	death-domain associated protein(daxx)	Danio rerio
HELLS	helicase, lymphoid-specific(hells)	Danio rerio
CARM1	coactivator-associated arginine methyltransferase 1(carm1)	Danio rerio
USP46	ubiquitin specific peptidase 46(usp46)	Danio rerio
UBN1	ubinuclein 1(ubn1)	Danio rerio
SMYD4	SET and MYND domain containing 4(smyd4)	Danio rerio
PHF14	PHD finger protein 14(phf14)	Danio rerio
DNAJC1	DnaJ (Hsp40) homolog, subfamily C, member 1(dnajc1)	Danio rerio
ARID1B	AT rich interactive domain 1B (SWI1-like)(arid1b)	Danio rerio
EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit(ezh1)	Danio rerio
NPAS2	neuronal PAS domain protein 2(npas2)	Danio rerio
BUB1	BUB1 mitotic checkpoint serine/threonine kinase(bub1)	Danio rerio
WSB2	WD repeat and SOCS box containing 2(wsb2)	Danio rerio
KAT2A	K(lysine) acetyltransferase 2A(kat2a)	Danio rerio
UBE2D3	ubiquitin-conjugating enzyme E2D 3(ube2d3)	Danio rerio
MECP2	methyl CpG binding protein 2(mecp2)	Danio rerio
A1CF	apobec1 complementation factor(a1cf)	Danio rerio
SNAI2	snail family zinc finger 2(snai2)	Danio rerio
BAZ2A	bromodomain adjacent to zinc finger domain, 2A(baz2a)	Danio rerio
PRMT9	protein arginine methyltransferase 9(prmt9)	Danio rerio
TOP2A	topoisomerase (DNA) II alpha(top2a)	Danio rerio
ACTR6	ARP6 actin-related protein 6 homolog (yeast)(actr6)	Danio rerio
BABAM1	BRISC and BRCA1 A complex member 1(babam1)	Danio rerio
EXOSC9	exosome component 9(exosc9)	Danio rerio
PHF2	PHD finger protein 2(phf2)	Danio rerio
BARD1	BRCA1 associated RING domain 1(bard1)	Danio rerio
